:Rank 1
Dillahunt Tawanna R.
Dorf Mary Lou
Dreslinski Ron 
Durfee Edmund H.
Dutta, Prabal 
England, Anthony W.
Essl, Georg 
Eustice, Ryan M.
Fessler, Jeffrey A.
Finelli, Cynthia 
Flinn, Jason 
Flynn, Michael P.
Forrest, Stephen R.
Freudenberg, James S.
Fu, Kevin 
Galvanauskas, Almantas
Ganago, Alexander
Gianchandani, Yogesh B. 
Gilbert, Anna C.
Gilchrist, Brian E.
Goldman, Rachel S.
Grbic, Anthony 
Green, Scott
Grizzle, Jessy W.
Guan, Yuanfang 
Guo, L. Jay 
Halderman, J. Alex 
Hayes, John P.
He, Guohong
Hero, Alfred O.
Hicks, Matthew 
Hiskens, Ian A.
Hofmann, Heath 
Honeyman, Peter 
Islam, Mohammed N.
Jagadish, HV 
Jahanian, Farnam 
Jamin, Sugih 
Jarrahi, Mona 
Jenkins, Chad 
Johnson-Roberson, Matthew 
